,city_name,country,lat,humidity,temp,cloudiness,wind_speed
363,Aku,NG,6.71,89,28.46,75,0.22
364,Norwich,GB,52.63,93,10.73,100,4.6
365,Kathu,TH,7.92,100,36.58,20,1.0
366,Mora,CM,11.05,24,25.84,5,1.39
367,Ayorou,NE,14.73,16,33.41,49,2.87
368,Port Alfred,ZA,-33.59,84,16.07,0,5.89
369,Opuwo,NA,-18.06,46,15.54,0,3.14
370,Sabadell,ES,41.54,93,20.04,100,2.1
371,Lukulu,ZM,-14.37,31,21.36,0,2.41
372,Cervo,ES,43.67,91,11.36,62,2.64
373,Letnica,PL,51.9,39,6.79,25,5.15
374,Ténenkou,ML,14.46,15,28.63,0,3.27
375,Inongo,CD,-1.95,89,25.18,50,2.74
376,Tías,ES,28.96,69,23.56,20,2.6
377,Tshikapa,CD,-6.42,85,25.34,100,0.93
378,Mkushi,ZM,-13.62,35,19.8,0,4.4
379,Province of Brindisi,IT,40.58,87,13.54,47,1.5
380,Challans,FR,46.84,93,11.34,50,1.5
381,Tataouine,TN,32.93,30,19.91,0,1.0
382,A Coruña,ES,43.37,87,10.17,52,3.6
383,Boende,CD,-0.22,97,26.1,100,0.96
384,Grand-Lahou,CI,5.14,89,28.24,15,4.31
385,Alaşehir,TR,38.35,73,15.95,64,0.71
386,Beočin,RS,45.21,87,8.63,100,1.0
387,Asola,IT,45.22,87,9.81,0,2.6
388,Myre,NO,69.1,69,-7.64,0,6.2
389,Komárno,SK,47.76,87,7.99,37,4.1
390,Paralia,GR,38.2,63,10.87,20,3.1
391,Malsch,DE,48.88,48,10.26,56,6.2
392,Lerwick,GB,60.15,87,-1.95,100,12.9
393,Senanga,ZM,-16.12,17,22.44,11,2.97
394,Kopavogur,IS,64.11,80,-3.52,75,7.7
395,Hvide Sande,DK,56.0,73,10.26,100,4.92
396,Marsa,MT,35.88,68,16.89,20,3.1
397,Benghazi,LY,32.12,47,18.25,0,3.3
398,Dalvik,IS,65.97,92,-3.98,85,1.0
399,Sekondi,GH,4.94,91,28.4,89,3.54
400,Kalisz,PL,51.76,81,9.76,77,2.24
401,Mizdah,LY,31.45,47,12.68,0,5.53
402,San-Pédro,CI,4.75,89,28.59,100,2.87
403,Laguna,US,38.42,28,26.6,1,1.5
404,Pechory,RU,57.82,100,2.98,90,3.0
405,Abū Zabad,SD,12.35,51,28.64,50,3.3
406,Gengenbach,DE,48.4,55,12.13,67,6.2
407,Gogrial,SS,8.53,68,29.58,22,0.6
408,Hennebont,FR,47.81,93,10.74,0,4.1
409,Darnah,LY,32.77,71,17.04,7,6.84
410,Aneby,SE,57.84,100,7.78,100,3.6
411,Biltine,TD,14.53,13,24.87,0,4.95
412,Sumbe,AO,-11.21,76,27.28,100,2.05
413,Kasempa,ZM,-13.46,33,20.39,1,2.1
414,Dalbeattie,GB,54.93,92,7.77,58,1.79
